Fahrzeug-ID,Linie,Abfahrt-Datum,Annahme,Status,angem.Pers,bef.Pers,Einstieg_GTFS,Ausstieg_GTFS,abfahrt_minutes,day,depot,trip_id,einstieg_stop_id,einstieg_stop_sequence,ausstieg_stop_id,ausstieg_stop_sequence,trip_sequence_in_line
124,820,2024-08-22,I_ESM,DU,1,1,Redefin B5,Hagenow Land Bahnhof,416,thursday,VLP Hagenow,885035,652959,18,364953,28,10
0,844,2024-08-22,P_jbe,A,1,1,Gustävel,Golchen,419,thursday,VLP Sternberg,302770,558492,4,372661,15,6
0,592,2024-08-22,P_EsY,DU,1,1,Balow Dambecker Weg,Grabow (Meckl) Binnung,422,thursday,VLP Ludwigslust,1545917,123559,6,325288,23,8
0,845,2024-08-22,I_EFA,A,1,1,Langen Brütz,Brahlstorf b. Cambs,425,thursday,VLP Schwerin,1339767,72731,11,457197,26,7
134,842,2024-08-22,I_ESM,DU,1,1,Crivitz Bahnhof,Gädebehn,425,thursday,VLP Sternberg,437521,186789,1,143822,8,6
0,840,2024-08-22,P_kes,A,2,2,Dümmer Dümmerstück Hof,Wittenförden Dorfeingang,427,thursday,VLP Schwerin,342305,529159,47,220190,51,5
0,823,2024-08-22,I_ESM,A,1,1,Schwerin Süd (NVS),Stralendorf b Schwerin,430,thursday,VLP Hagenow,631065,535705,1,245855,9,13
135,842,2024-08-22,I_ESM,DU,1,1,Demen Siedlung,Crivitz Bahnhof,434,thursday,VLP Sternberg,948298,505713,3,186789,25,7
0,812,2024-08-22,P_ViB,A,1,1,Heiddorf R. Raddenf.,Vielank,434,thursday,VLP Ludwigslust,1403012,112853,5,227959,15,8
136,843,2024-08-22,P_MaS,DU,1,1,Ruchow,Sternberg (Meckl) ZOB,434,thursday,VLP Sternberg,28259,271355,8,641458,46,8
135,842,2024-08-22,P_fbi,DU,0,0,Demen Siedlung,Crivitz Große Straße,434,thursday,VLP Sternberg,948298,505713,3,143142,23,7
135,842,2024-08-22,P_fbi,DU,0,0,Demen Siedlung,Crivitz Große Straße,434,thursday,VLP Sternberg,948298,505713,3,143142,23,7
135,842,2024-08-22,P_fbi,DU,3,0,Demen Siedlung,Crivitz Große Straße,434,thursday,VLP Sternberg,948298,505713,3,143142,23,7
171,830,2024-08-22,I_ESM,DU,1,0,Boizenburg Markt,Nostorf,441,thursday,VLP Boizenburg,505884,614787,3,443791,10,12
123,823,2024-08-22,I_ESM,DU,1,1,Hoort,Pampow (b Schwerin) Feuerwehr,442,thursday,VLP Hagenow,1419960,480747,24,197323,49,12
0,830,2024-08-22,I_ESM,A,1,1,Schwartow,Zarrentin a Schaals. Bahnhofst,455,thursday,VLP Boizenburg,505884,85837,15,47525,51,12
139,830,2024-08-22,I_AUS,DU,1,1,Gresse (Meckl),Zarrentin a Schaals. Bahnhofst,459,thursday,VLP Boizenburg,505884,335637,20,47525,51,12
128,807,2024-08-22,I_ESM,DU,1,1,Parchim Juri-Gagarin-Ring,Groß Godems Schule,462,thursday,VLP Parchim,1222538,205739,2,308567,11,8
127,805,2024-08-22,P_dip,DU,1,1,Parchim Juri-Gagarin-Ring,Darze (b Parchim),462,thursday,VLP Parchim,674459,205739,2,328538,5,7
